Organization,Vote,Description,2024-25 Expenditures,2025-26 Main Estimates,2025-26 Estimates To Date,2026-27 Main Estimates
Administrative Tribunals Support Service of Canada,1,Program expenditures,72960811,68848388,72924472,65396288
Administrative Tribunals Support Service of Canada,S,Contributions to employee benefit plans,12997869,13621885,14304944,13955310
Administrative Tribunals Support Service of Canada,S,Other Statutory items listed in the Public Accounts of Canada,621,0,0,0
Atlantic Canada Opportunities Agency,1,Operating expenditures,76791304,70274559,71162666,70491619
Atlantic Canada Opportunities Agency,5,Grants and contributions,314333155,282252478,335858883,308687375
Atlantic Canada Opportunities Agency,S,Contributions to employee benefit plans,9303981,9497319,9573015,10226783
Atlantic Canada Opportunities Agency,S,Other Statutory items listed in the Public Accounts of Canada,39859,0,0,0
Atomic Energy of Canada Limited,1,Payments to the corporation for operating and capital expenditures,1433600000,1945655529,1947025222,1704470844
Canada Border Services Agency,1,Operating expenditures,2566314052,2538380582,2522405003,2494760127
Canada Border Services Agency,5,Capital expenditures,133280831,173374342,204801649,236770191
Canada Border Services Agency,S,Expenditures of revenues pursuant to subsection 29.1(1) of the  Financial Administration Act,0,0,0,40043339
Canada Border Services Agency,S,Other Statutory items listed in the Public Accounts of Canada,1345949,0,0,0
Canada Border Services Agency,S,Contributions to employee benefit plans,307992127,281217025,282937588,298321920
Canada Council for the Arts,1,Payments to the Council,364283160,360142160,360312160,357666546
Canada Mortgage and Housing Corporation,1,Reimbursement under the provisions of the  National Housing Act  and the  Canada Mortgage and Housing Corporation Act,5466687949,6363904082,6465012197,6128083371
Canada Mortgage and Housing Corporation,S,"Advances under the  National Housing Act  (R.S.C., 1985,Ýc. N-11)",-194777830,-158996869,-158996869,-135400563
Canada Mortgage and Housing Corporation,S,Payment for a one-time rental housing benefit and the administration and enforcement of the  Rental Housing Benefit Act,-23098325,3800000,3800000,0
Canada Post Corporation,1,Payments to the Corporation for special purposes,22210000,22210000,22210000,22210000
Canada Post Corporation,5,Payments to the Corporation for the purposes referred to in section 31 of the  Canada Post Corporation Act,0,1034000000,2042000000,0
Canada Revenue Agency,1,"Operating expenditures, grants and contributions",5132695471,4766162392,4983784785,4798678307
Canada Revenue Agency,5,Capital expenditures,76030232,68403091,73213476,49200177
Canada Revenue Agency,S,Motor vehicle allowance:  Ministers of State or Secretaries of State ( Parliament of Canada Act ),0,0,0,2000
Canada Revenue Agency,S,Distribution of fuel charges (to farming businesses) under section 165 of the  Greenhouse Gas Pollution Pricing Act   and section 127.42 of  the  Income Tax Act,167366526,0,0,0
Canada Revenue Agency,S,Distribution of fuel charges (Canada Carbon Rebate for small businesses) under section 165 of the  Greenhouse Gas Pollution Pricing Act  and  section 127.421 of the  Income Tax Act,2568878652,623000000,623000000,0
Canada Revenue Agency,S,Distribution of fuel charges (to provinces and territories) under section 165 of the  Greenhouse Gas Pollution Pricing Act,49890877,17000000,17000000,0
Canada Revenue Agency,S,Distribution of fuel charges (Canada Carbon Rebate for individuals) under section 165 of the  Greenhouse Gas Pollution Pricing Act  and  section 122.8 of the  Income Tax Act,12664115951,3522000000,3522000000,0
Canada Revenue Agency,S,Children's Special Allowance payments ( Children's Special Allowance Act ),429947248,423000000,423000000,451000000
Canada Revenue Agency,S,Other Statutory items listed in the Public Accounts of Canada,2384292,0,0,0
Canada Revenue Agency,S,Spending of revenues received through the conduct of its operations pursuant to section 60 of the  Canada Revenue Agency Act,350022000,293913215,293913215,263548934
Canada Revenue Agency,S,Minister's salary and motor vehicle allowance  Salaries Act  and  Parliament of Canada Act ),99066,102300,102300,0
Canada Revenue Agency,S,Contributions to employee benefit plans,737892992,661635598,686915502,711114262
Canada School of Public Service,1,Program expenditures,71862495,72771803,74857597,66678116
Canada School of Public Service,S,Contributions to employee benefit plans,10002378,10150589,10265463,10246320
Canada School of Public Service,S,Spending of revenues pursuant to subsection 18(2) of the  Canada School of Public Service Act,8426595,6630872,6630872,6630872
Canada School of Public Service,S,Other Statutory items listed in the Public Accounts of Canada,5960,0,0,0
Canada School of Public Service,S,Expenditures pursuant to subsection 29.1(1) of the  Financial Administration Act,8483902,4500000,4500000,4500000
Canada Water Agency,1,Operating expenditures,17183147,38128483,38077883,34693471
Canada Water Agency,5,Contributions,24330459,42765417,42765417,42244658
Canada Water Agency,S,Contributions to employee benefit plans,1705167,3937931,3937931,4088796
Canadian Accessibility Standards Development Organization,1,Operating expenditures,11908606,11786820,11786820,11786820
Canadian Accessibility Standards Development Organization,5,Grants and contributions,8498511,8500000,8500000,8500000
Canadian Accessibility Standards Development Organization,S,Contributions to employee benefit plans,971978,1007689,1007689,1080137
Canadian Air Transport Security Authority,1,Payments to the Authority for operating and capital expenditures,1079165190,1201924450,1215468950,562129853
Canadian Broadcasting Corporation,1,Payments to the Corporation for operating expenditures,1309339411,1307346411,1457346411,1263214311
Canadian Broadcasting Corporation,5,Payments to the Corporation for working capital,4000000,4000000,4000000,4000000
Canadian Broadcasting Corporation,10,Payments to the Corporation for capital expenditures,111898000,113891000,113891000,116038000
Canadian Centre for Occupational Health and Safety,1,Program expenditures,6078790,6320572,6320572,5947344
Canadian Centre for Occupational Health and Safety,S,Contributions to employee benefit plans,1632720,860385,860385,861033
Canadian Centre for Occupational Health and Safety,S,Spending of revenues pursuant to paragraph 6(1)(g) of the  Canadian Centre for Occupational Health and Safety Act,7167662,6500000,6500000,8700000
Canadian Commercial Corporation,1,Payments to the Corporation,13792138,13792138,13792138,13772022
Canadian Dairy Commission,1,Program expenditures,5148853,5088203,5088203,4808231
Canadian Dairy Commission,S,Other Statutory items listed in the Public Accounts of Canada,98989758,0,0,0
Canadian Energy Regulator,1,Program expenditures,117310821,104393226,111095416,105900587
Canadian Energy Regulator,S,Contributions to employee benefit plans,13652012,12578620,13746627,13268133
Canadian Energy Regulator,S,Expenditures of revenues pursuant to subsection 29.1(1) of the  Financial Administration Act,0,0,0,204038
Canadian Food Inspection Agency,1,"Operating expenditures, grants and contributions",772658833,735988289,750166344,659250906
Canadian Food Inspection Agency,5,Capital expenditures,38323011,19777389,14465325,17977389
Canadian Food Inspection Agency,S,Contributions to employee benefit plans,90456162,95579286,95796018,96364067
Canadian Food Inspection Agency,S,Spending of revenues pursuant to Section 30 of the  Canadian Food Inspection Agency Act,64810540,53000000,53000000,53000000
Canadian Food Inspection Agency,S,Other Statutory items listed in the Public Accounts of Canada,523748,0,0,0
Canadian Food Inspection Agency,S,"Compensation payments in accordance with requirements established by Regulations under the  Health of Animals Act  and the   Plant Protection Act , and authorized pursuant to the  Canadian Food Inspection Agency Act    (S.C., 1997, c. 6)",72976676,12500000,12500000,12500000
Canadian Grain Commission,1,Program expenditures,6287650,6195555,6442364,6088821
Canadian Grain Commission,S,Other Statutory items listed in the Public Accounts of Canada,47050,0,0,0
Canadian Grain Commission,S,"Canadian Grain Commission Revolving Fund ( Appropriation Act No. 4, 1994-95 )",9763407,21266422,21266422,17339056
Canadian Grain Commission,S,Contributions to employee benefit plans,786878,827787,827787,855308
Canadian High Arctic Research Station,1,Program expenditures,34691452,32369800,33379724,34688618
Canadian High Arctic Research Station,S,Contributions to employee benefit plans,1775859,1931460,1931460,2098216
Canadian High Arctic Research Station,S,Spending of revenue pursuant to section 6(2) of the  Canadian High Arctic Research Station Act,0,732099,732099,732099
Canadian Human Rights Commission,1,Program expenditures,36622078,34461588,35123462,33077305
Canadian Human Rights Commission,S,Contributions to employee benefit plans,4941125,5029910,5169454,5191466
Canadian Human Rights Commission,S,Other Statutory items listed in the Public Accounts of Canada,889,0,0,0
Canadian Institutes of Health Research,1,Operating expenditures,78253311,76463348,74909376,76580072
Canadian Institutes of Health Research,5,Grants,1336222895,1288832664,1292339594,1400413601
Canadian Institutes of Health Research,S,Contributions to employee benefit plans,9896030,9682685,9682685,10406058
Canadian Intergovernmental Conference Secretariat,1,Program expenditures,7546071,7310085,7310085,5889800
Canadian Intergovernmental Conference Secretariat,S,Contributions to employee benefit plans,578838,591098,591098,529339
Canadian Museum for Human Rights,1,Payments to the Museum for operating and capital expenditures,28589790,26906790,28755883,25407184
Canadian Museum of History,1,Payments to the Museum for operating and capital expenditures,83226822,78060568,81953458,76855199
Canadian Museum of Immigration at Pier 21,1,Payments to the Museum for operating and capital expenditures,10024370,8799370,9916370,8080571
Canadian Museum of Nature,1,Payments to the Museum for operating and capital expenditures,36378308,29288223,35148045,30041517
Canadian Northern Economic Development Agency,1,Operating expenditures,23609050,23914472,25998613,31547131
Canadian Northern Economic Development Agency,5,Grants and contributions,55182410,51424369,82678430,99307483
Canadian Northern Economic Development Agency,S,Contributions to employee benefit plans,2184910,2496199,2641419,3408462
Canadian Nuclear Safety Commission,1,Program expenditures,56483609,57418310,57404410,54062479
Canadian Nuclear Safety Commission,S,Expenditures of revenues pursuant to paragraph 21(3) of the  Nuclear Safety and Control Act,126059174,121415760,121415760,129634632
Canadian Nuclear Safety Commission,S,Contributions to employee benefit plans,19899305,6231772,6231772,6611018
Canadian Race Relations Foundation,1,Payments to the Foundation,12092410,12000000,11990800,12000000
Canadian Radio-television and Telecommunications Commission,1,Program expenditures,9717559,9956495,9956495,4878929
Canadian Radio-television and Telecommunications Commission,S,Contributions to employee benefit plans,11501068,11909759,11909759,12686178
Canadian Radio-television and Telecommunications Commission,S,Other Statutory items listed in the Public Accounts of Canada,49892,0,0,0
Canadian Security Intelligence Service,1,Program expenditures,748322493,907947462,918324834,930948484
Canadian Security Intelligence Service,S,Contributions to employee benefit plans,63757162,72192509,74047502,81907699
Canadian Security Intelligence Service,S,Other Statutory items listed in the Public Accounts of Canada,937759,0,0,0
Canadian Space Agency,1,Operating expenditures,261723886,282744971,264352927,312870750
Canadian Space Agency,5,Capital expenditures,277395214,466959635,476704681,520371623
Canadian Space Agency,10,Grants and contributions,79428212,67018000,598044814,60981000
Canadian Space Agency,S,Contributions to employee benefit plans,16137997,17358225,17358225,19714945
Canadian Space Agency,S,Other Statutory items listed in the Public Accounts of Canada,41232,0,0,0
Canadian Tourism Commission,1,Payments to the Commission,115967712,125027800,125027800,93365772
Canadian Transportation Accident Investigation and Safety Board,1,Program expenditures,38661532,36493889,36493889,36525038
Canadian Transportation Accident Investigation and Safety Board,S,Contributions to employee benefit plans,4287415,4629867,4629867,4991718
Canadian Transportation Accident Investigation and Safety Board,S,Other Statutory items listed in the Public Accounts of Canada,28138,0,0,0
Canadian Transportation Agency,1,Program expenditures,51904314,50365239,50333039,31179231
Canadian Transportation Agency,S,Contributions to employee benefit plans,6801199,6723379,6723379,4522937
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,1,Program expenditures,14481036,15127881,15472113,26291690
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,S,Contributions to employee benefit plans,1725014,1736401,1829344,2937416
Communications Security Establishment,1,Program expenditures,1020695708,1144688528,1582291344,1915184180
Communications Security Establishment,S,Contributions to employee benefit plans,67806351,75887658,77912715,91984526
Communications Security Establishment,S,Other Statutory items listed in the Public Accounts of Canada,30201,0,0,0
Copyright Board,1,Program expenditures,4557132,4244261,4244261,4251677
Copyright Board,S,Contributions to employee benefit plans,516174,486318,486318,522499
Correctional Service of Canada,1,"Operating expenditures, grants and contributions",3084547130,3227384720,3367812903,3296446429
Correctional Service of Canada,5,Capital expenditures,246251581,337357217,337357217,382568067
Correctional Service of Canada,10,CORCAN revolving fund,0,1,1,0
Correctional Service of Canada,S,Contributions to employee benefit plans,274381699,297787547,312582379,321559689
Correctional Service of Canada,S,CORCAN Revolving Fund,-6847856,0,0,0
Correctional Service of Canada,S,Other Statutory items listed in the Public Accounts of Canada,2184863,0,0,0
Correctional Service of Canada,S,Loans to individuals under mandatory supervision and parolees through the Parolees' Loan Account,-220,0,0,0
Courts Administration Service,1,Program expenditures,123276425,197723732,202792177,177104676
Courts Administration Service,S,Contributions to employee benefit plans,12444691,11016793,12090890,11637017
Courts Administration Service,S,Other Statutory items listed in the Public Accounts of Canada,191,0,0,0
Department for Women and Gender Equality,1,Operating expenditures,59696258,61732958,61732958,61578946
Department for Women and Gender Equality,5,Grants and contributions,302479150,338287046,338287046,345571095
Department for Women and Gender Equality,S,Contributions to employee benefit plans,6692455,7019842,7019842,7310197
Department for Women and Gender Equality,S,Minister's salary and motor vehicle allowance ( Salaries Act  and  Parliament of Canada Act ),94285,102300,102300,106000
Department for Women and Gender Equality,S,Other Statutory items listed in the Public Accounts of Canada,12,0,0,0
Department of Agriculture and Agri-Food,1,Operating expenditures,717813481,682771782,678501670,647737493
Department of Agriculture and Agri-Food,5,Capital expenditures,67788769,73095676,82845176,67699368
Department of Agriculture and Agri-Food,10,Grants and contributions,890290778,893997907,927941567,782888844
Department of Agriculture and Agri-Food,S,"Grants to agencies established under the  Farm Products Agencies Act  (R.S.C., 1985, c. F-4)",0,100000,100000,100000
Department of Agriculture and Agri-Food,S,Contribution payments for the Dairy Innovation and Investment Fund ( Farm Income Protection Act ),13888411,50000000,50000000,62000000
Department of Agriculture and Agri-Food,S,Contribution payments for the Livestock Price Insurance program ( Farm Income Protection Act ),2114897,4000000,4000000,4000000
Department of Agriculture and Agri-Food,S,Contribution payments for the Agricultural Disaster Relief program/AgriRecovery ( Farm Income Protection Act ),13623045,118513335,118513335,118513335
Department of Agriculture and Agri-Food,S,Loan guarantees under the  Canadian Agricultural Loans Act,424522,13111013,13111013,13111013
Department of Agriculture and Agri-Food,S,Payments in connection with the  Agricultural Marketing Programs Act,122189007,169001104,172047165,146986659
Department of Agriculture and Agri-Food,S,Contributions in support of the Assistance to the Pork Industry Initiative,-5677829,0,0,0
Department of Agriculture and Agri-Food,S,Contribution payments for the AgriInvest program ( Farm Income Protection Act ),25864162,19779021,19779021,19779021
Department of Agriculture and Agri-Food,S,Contribution payments for the AgriStability program ( Farm Income Protection Act ),323257162,339658188,431885638,339658188
Department of Agriculture and Agri-Food,S,Contribution payments for the AgriInsurance program ( Farm Income Protection Act ),1264457816,1033783000,1033783000,1033783000
Department of Agriculture and Agri-Food,S,Grant payments for the Dairy Direct Payment Program ( Farm Income Protection Act ),245062681,250000000,250000000,150000000
Department of Agriculture and Agri-Food,S,Grant payments for the AgriInvest program ( Farm Income Protection Act ),165286998,153974143,153974143,153974143
Department of Agriculture and Agri-Food,S,Grant payments for the AgriStability program ( Farm Income Protection Act ),97681213,52063330,68563330,52063330
Department of Agriculture and Agri-Food,S,Other Statutory items listed in the Public Accounts of Canada,6775707,0,0,0
Department of Agriculture and Agri-Food,S,Canadian Pari-Mutuel Agency Revolving Fund ( Revolving Funds Act ),1952773,872444,872444,839556
Department of Agriculture and Agri-Food,S,Minister of Agriculture and Agri-Food ñ Salary and motor car allowance ( Salaries Act  and  Parliament of Canada Act ),99066,102300,102300,106000
Department of Agriculture and Agri-Food,S,Contributions to employee benefit plans,77607911,80847202,80902683,84329209
Department of Canadian Heritage,1,Operating expenditures,248674693,253537041,253380883,218269156
Department of Canadian Heritage,5,Grants and contributions,1857943872,1808125427,1932012098,1606092571
Department of Canadian Heritage,S,Minister of Sport and Minister responsible for Prairies Economic Development Canada ñ Salary and motor car allowance ( Salaries Act   and  Parliament of Canada Act ),23106,102300,102300,0
Department of Canadian Heritage,S,Salaries of the Lieutenant-Governors ( Salaries Act ),1804309,1196000,1196000,1196000
Department of Canadian Heritage,S,Contributions to employee benefit plans,30568377,31703900,31842679,31177594
Department of Canadian Heritage,S,Other Statutory items listed in the Public Accounts of Canada,184978,0,0,0
Department of Canadian Heritage,S,Minister's salary and motor vehicle allowance ( Salaries Act  and  Parliament of Canada Act ),94285,102300,102300,106000
Department of Canadian Heritage,S,"Payments under the  Lieutenant Governors Superannuation Act    (R.S.C., 1985, c. L-8)",1044055,637000,637000,637000
Department of Canadian Heritage,S,"Minister of Canadian Culture and Identity, Parks Canada and Quebec LieutenantóSalary and motor car allowance ( Salaries  ActÝandÝParliament of Canada Act )",4781,0,0,0
Department of Canadian Heritage,S,Motor vehicle allowance:  Ministers of State or Secretaries of State ( Parliament of Canada Act ),468,2000,2000,2000
Department of Canadian Heritage,S,Supplementary Retirement Benefits ñ Former Lieutenant-Governors ( Supplementary Retirement Benefits Act ),307050,182000,182000,182000
Department of Citizenship and Immigration,1,Operating expenditures,2626838893,2223420163,2939548116,1891240714
Department of Citizenship and Immigration,5,Capital expenditures,6937357,5957509,757509,3454394
Department of Citizenship and Immigration,10,Grants and contributions,3572858382,2777304133,2863407889,2394061854
Department of Citizenship and Immigration,S,Contributions to employee benefit plans,157232789,146600099,148428462,153022058
Department of Citizenship and Immigration,S,Minister's salary and motor vehicle allowance ( Salaries Act  and  Parliament of Canada Act ),99066,102300,102300,106000
Department of Citizenship and Immigration,S,"Passport Canada Revolving Fund ( Revolving Funds Act   (R.S.C., 1985, c. R-8))",120626725,20643448,20643448,-25003403
Department of Citizenship and Immigration,S,Other Statutory items listed in the Public Accounts of Canada,23926934,0,0,0
Department of Citizenship and Immigration,S,Loans to immigrants and refugees to facilitate the arrival of newcomers pursuant to section 88 of the  Immigration and Refugee Protection Act,70892642,0,0,0
Department of Citizenship and Immigration,S,Fees returned in connection with a terminated application,16950,0,0,0
Department of Citizenship and Immigration,S,Fees returned in connection with a terminated application in Investor and Entrepreneur Classes,2800,0,0,0
Department of Crown-Indigenous Relations and Northern Affairs,1,Operating expenditures,2295945946,4844173256,5255528361,4096431570
Department of Crown-Indigenous Relations and Northern Affairs,5,Capital expenditures,35619,325000,733110,225000
Department of Crown-Indigenous Relations and Northern Affairs,10,Grants and contributions,11900129617,8158701504,9271159393,7738322736
Department of Crown-Indigenous Relations and Northern Affairs,L15,Loans to Indigenous claimants,16589642,25903000,25903000,25903000
Department of Crown-Indigenous Relations and Northern Affairs,S,Contributions to employee benefit plans,30415299,30992416,31013989,31441446
Department of Crown-Indigenous Relations and Northern Affairs,S,Minister of Crown-Indigenous Relations and Northern Affairs ñ Salary and motor car allowance ( Salaries Act  and  Parliament of Canada Act ),71179,0,0,0
Department of Crown-Indigenous Relations and Northern Affairs,S,Minister's salary and motor vehicle allowance ( Salaries Act  and  Parliament of Canada Act ),90567,102300,102300,106000
Department of Crown-Indigenous Relations and Northern Affairs,S,Other Statutory items listed in the Public Accounts of Canada,16811575,0,0,0
Department of Crown-Indigenous Relations and Northern Affairs,S,"Engagement on a pilot project for the creation of a Red Dress Alert ( Budget Implementation Act, 2024 , No. 1, Section 264)",1103200,0,0,126300
Department of Crown-Indigenous Relations and Northern Affairs,S,Grants to Aboriginal organizations designated to receive claim  settlement payments pursuant to Comprehensive Land Claim Settlement Acts,5047917,4125988,4125988,0
Department of Crown-Indigenous Relations and Northern Affairs,S,Grassy Narrows and Islington Bands Mercury Disability Board ( Grassy  Narrows and Islington Indian Bands Mercury Pollution Claims Settlement Act ),0,15000,15000,15000
Department of Crown-Indigenous Relations and Northern Affairs,S,Payments to comprehensive claim beneficiaries in compensation for resource royalties (Comprehensive Land Claim Settlement Acts),0,1865718,1865718,1865718
Department of Crown-Indigenous Relations and Northern Affairs,S,Minister's salary and motor vehicle allowance  ( Salaries Act  and  Parliament of Canada Act ),0,0,0,106000
Department of Employment and Social Development,1,Operating expenditures,1455737138,1299684121,1339080982,1111834762
Department of Employment and Social Development,5,Grants and contributions,10117400843,11647044543,11643623722,12513074018
Department of Employment and Social Development,10,Debt write-off ñ Canada Student Loans and Canada Apprentice Loans,0,197249543,381908993,0
Department of Employment and Social Development,15,Debt write-off ñ Government Annuities Account,0,0,18638,0
Department of Employment and Social Development,S,Payments for the Canada Worker Lockdown Benefit pursuant to the  Canada Worker Lockdown Benefit Act,5823351,1760244,1760244,0
Department of Employment and Social Development,S,Payments for the Canada Recovery Benefit pursuant to the  Canada Recovery Benefits Act,-104201003,39405638,39405638,0
Department of Employment and Social Development,S,Other statutory items listed in the Public Accounts of Canada,2089378,0,0,0
Department of Employment and Social Development,S,Spending of revenues pursuant to subsection 5.2(2) of the  Department of Employment and Social Development Act,502168897,478215918,478215918,457273072
Department of Employment and Social Development,S,Minister of Jobs and Families - Salary and motor car allowance ( Salaries Act  and  Parliament of Canada Act ),4781,0,0,0
Department of Employment and Social Development,S,Payments for the Canada Recovery Sickness Benefit pursuant to the  Canada Recovery Benefits Act,8666499,8808156,8808156,0
Department of Employment and Social Development,S,Payments for the Canada Recovery Caregiving Benefit pursuant to the  Canada Recovery Benefits Act,4545670,15254640,15254640,0
Department of Employment and Social Development,S,Contributions to employee benefit plans,489556404,423334810,424090452,415407991
Department of Employment and Social Development,S,Minister's salary and motor vehicle allowance ( Salaries Act  and  Parliament of Canada Act ),94285,102300,102300,106000
Department of Employment and Social Development,S,Motor vehicle allowance:  Ministers of State or Secretaries of State ( Parliament of Canada Act ),468,2000,2000,6000
Department of Employment and Social Development,S,"Minister of Employment, Workforce Development and Official Languages ñ Salary and motor car allowance ( Salaries Act  and   Parliament of Canada Act )",63122,0,0,0
Department of Employment and Social Development,S,"Minister of State (Minister of Diversity, Inclusion and Persons with Disabilities) ñ Motor car allowance ( Parliament of Canada Act )",1903,2000,2000,0
Department of Employment and Social Development,S,Minister of Labour and Seniors ñ Salary and motor car allowance  ( Salaries Act  and  Parliament of Canada Act ),71179,0,0,0
Department of Employment and Social Development,S,"Minister of Employment, Workforce Development and Labour ñ Salary and motor car allowance ( Salaries Act  and  Parliament of Canada Act )",23106,102300,102300,0
Department of Employment and Social Development,S,Minister of Citizensí Services ñ Salary and motor car allowance ( Salaries Act  and  Parliament of Canada Act ),94285,102300,102300,0
Department of Employment and Social Development,S,"Payments of compensation respecting government employees (R.S.C., 1985, c. G-5) and merchant seamen (R.S.C., 1985, c. M-6)",16141958,31444511,31444511,31444511
